"","id","Feb1","Feb2","Feb3","Feb4","Feb5","Feb6","Feb7","Feb8","Feb9","Feb10","Feb11","Feb12","Feb13","Feb14","Feb15","Feb16","Feb17","Feb18","Feb19","Feb20","Feb21","Feb22","Feb23","Feb24","Feb25","Feb26","Feb27","Feb28","lon","lat"
"15",183,1.6,0.5,-1.3,-0.8,1.3,1.1,3.4,2.3,4.3,3.9,2.4,0.4,-0.8,1.9,2.4,0.5,0.7,3.3,3.5,2.4,3.9,2.9,2,3.5,2.6,3.8,3.7,2.8,13.4343,54.6792
"16",191,0.7,0.6,-0.5,-3,-2,-1.6,-2.9,0.8,2,3,1.6,-0.1,-0.7,-1.2,-0.4,-1.2,0.2,1.3,-0.6,3.9,3.6,1.3,0.2,3.5,1.5,2.7,2.5,2.4,9.9113,49.9695
"17",198,-0.7,0.7,0.5,-1.6,-2.3,-3.3,-2.2,1.4,3.8,4.9,3.2,-0.9,0.7,-0.5,-0.4,1.4,-0.1,2,0.3,3.8,4.9,1.6,1.4,3.5,3.4,3.1,2.9,2.5,11.292,51.3745
"18",217,-1.6,-1.8,-4.5,-5.3,-5.1,-5.2,-6.4,-3.7,-2.4,-0.4,-2.8,-2.9,-2.1,-1.7,-3.3,-2,-2.9,-3.2,-1.3,2.9,2.2,0.1,0.7,1.5,1,-0.2,-0.6,1,11.3642,47.8774
"19",222,0.2,0.1,-0.4,-2.8,-4.5,-3.8,-3.3,-1,0.8,2.4,1.2,0.1,0,0.4,0.8,3,1.5,0.3,0.1,2.9,5.2,0.6,1.3,3.3,1.5,0.5,1.9,1.5,12.714,50.5907
"20",232,-0.9,-1.2,-6.8,-7.1,-3,-4,-6.1,-2.3,-1.5,0.4,-0.8,-1.8,-2,-2.9,-1.6,-0.8,-1.9,-1.5,-1.7,1.6,1,0.7,0.2,2.8,1.3,0.5,-0.3,1.4,10.942,48.4254
"21",257,0.8,0,-3.1,-3.3,-1,-1,-2,-0.5,0.5,1.3,0,-1.8,-1.6,1.5,-0.5,0.1,0.4,1.3,-0.8,3.7,5.2,1.8,4,4.6,4,4.7,3.7,2.4,8.2458,48.727
"22",259,1.5,1.1,-0.6,-2.6,-1.8,-1.3,-4.1,-2.2,-0.3,-0.4,-1.5,-1.4,1.2,5.6,1,0.6,0.7,1.5,0.1,6,5.1,2.7,5,4.5,4.5,4.8,4.7,3.8,7.6384,47.8063
"23",282,-0.2,0.6,-0.7,-2.2,-1.5,-1.7,-2.9,0.1,1.2,2.9,1.4,-0.1,-0.3,-1,-1.1,-1,-1.5,0.9,-0.9,3.4,4,1.3,0.4,2.9,1.9,0.6,1.9,3.4,10.9206,49.8742
"24",294,1.1,1.3,0.5,-1.7,-2.1,-2.8,-0.1,2.2,4.7,5.1,2.7,-0.8,2.1,5.7,0.4,1,1.8,3.8,2.8,4.6,4.7,3,3.1,4.4,4.8,5.9,4.3,3.7,9.4299,52.3198
